name	type	navis_haplotype	navis	navis_slim
ESE00019_SLR1	SLR	NA	NA	NA
ESE00019_SLR10	SLR	NA	NA	NA
ESE00019_SLR11	SLR	NA	NA	NA
ESE00019_SLR12	SLR	NA	NA	NA
ESE00019_SLR14	SLR	NA	NA	NA
ESE00019_SLR16	SLR	NA	NA	NA
ESE00019_SLR17	SLR	NA	NA	NA
ESE00019_SLR18	SLR	NA	NA	NA
ESE00019_SLR19	SLR	NA	NA	NA
ESE00019_SLR2	SLR	NA	NA	NA
ESE00019_SLR3	SLR	NA	NA	NA
ESE00019_SLR4	SLR	NA	NA	NA
ESE00019_SLR5	SLR	NA	NA	NA
ESE00019_SLR6	SLR	NA	NA	NA
ESE00019_SLR8	SLR	NA	NA	NA
ESE00019_SLR9	SLR	NA	NA	NA
ESE00019_s00021	Starship	navis0011-hap0007	navis0011	NA
ESE00019_s00022	Starship	navis0014-hap0021	navis0014	NA
ESE00019_s00028	Starship	navis0001-hap0010	navis0001	NA
ESE00019_s00033	Starship	navis0004-hap0001	navis0004	NA
ESE00019_s00037	Starship	navis0003-hap0011	navis0003	NA
ESE00090_SLR20	SLR	NA	NA	NA
ESE00090_SLR22	SLR	NA	NA	NA
ESE00090_s00154	Starship	navis0014-hap0024	navis0014	NA
ESE00090_s00155	Starship	navis0009-hap0003	navis0009	NA
ESE00090_s00157	Starship	navis0004-hap0013	navis0004	NA
ESE00418_SLR23	SLR	NA	NA	NA
ESE00418_SLR24	SLR	NA	NA	NA
ESE00418_SLR26	SLR	NA	NA	NA
ESE00418_SLR27	SLR	NA	NA	NA
ESE00418_SLR28	SLR	NA	NA	NA
ESE00418_SLR31	SLR	NA	NA	NA
ESE00418_SLR32	SLR	NA	NA	NA
ESE00418_SLR33	SLR	NA	NA	NA
ESE00418_SLR34	SLR	NA	NA	NA
ESE00418_SLR35	SLR	NA	NA	NA
ESE00418_SLR36	SLR	NA	NA	NA
ESE00418_SLR37	SLR	NA	NA	NA
ESE00418_SLR38	SLR	NA	NA	NA
ESE00418_SLR39	SLR	NA	NA	NA
ESE00418_SLR40	SLR	NA	NA	NA
ESE00418_SLR41	SLR	NA	NA	NA
ESE00418_SLR42	SLR	NA	NA	NA
ESE00418_s00606	Starship	navis0011-hap0015	navis0011	NA
ESE00418_s00607	Starship	navis0011-hap0007	navis0011	NA
ESE00418_s00610	Starship	navis0002-hap0009	navis0002	NA
ESE00418_s00613	Starship	navis0004-hap0025	navis0004	NA
ESE00418_s00614	Starship	navis0013-hap0001	navis0013	NA
ESE00418_s00615	Starship	navis0004-hap0001	navis0004	NA
ESE00418_s00620	Starship	navis0004-hap0005	navis0004	NA
ESE00418_s00621	Starship	navis0010-hap0016	navis0010	NA
ESE01543_SLR43	SLR	NA	NA	NA
ESE01543_SLR44	SLR	NA	NA	NA
ESE01543_SLR45	SLR	NA	NA	NA
ESE01543_SLR46	SLR	NA	NA	NA
ESE01543_SLR48	SLR	NA	NA	NA
ESE01543_SLR49	SLR	NA	NA	NA
ESE01543_SLR50	SLR	NA	NA	NA
ESE01543_SLR51	SLR	NA	NA	NA
ESE01543_SLR53	SLR	NA	NA	NA
ESE01543_SLR54_1	SLR	NA	NA	NA
ESE01543_SLR54_2	SLR	NA	NA	NA
ESE01543_SLR55	SLR	NA	NA	NA
ESE01543_SLR56	SLR	NA	NA	NA
ESE01543_SLR57	SLR	NA	NA	NA
ESE01543_SLR58	SLR	NA	NA	NA
ESE01543_SLR59	SLR	NA	NA	NA
ESE01543_s01090	Starship	navis0002-hap0002	navis0002	NA
ESE01543_s01094	Starship	navis0004-hap0001	navis0004	NA
ESE01543_s01103	Starship	navis0002-hap0009	navis0002	NA
ESE01543_s01111	Starship	navis0009-hap0030	navis0009	NA
LCP05531_SLR60	SLR	NA	NA	NA
LCP05531_SLR62	SLR	NA	NA	NA
LCP05531_SLR63	SLR	NA	NA	NA
LCP05531_SLR66	SLR	NA	NA	NA
LCP05531_SLR67	SLR	NA	NA	NA
LCP05531_SLR68	SLR	NA	NA	NA
LCP05531_SLR69	SLR	NA	NA	NA
LCP05531_SLR70	SLR	NA	NA	NA
LCP05531_SLR71	SLR	NA	NA	NA
LCP05531_SLR72	SLR	NA	NA	NA
LCP05531_SLR74	SLR	NA	NA	NA
LCP05531_SLR75	SLR	NA	NA	NA
LCP05531_SLR76	SLR	NA	NA	NA
LCP05531_SLR77	SLR	NA	NA	NA
LCP05531_s01799	Starship	navis0014-hap0033	navis0014	NA
LCP05531_s01800	Starship	navis0002-hap0009	navis0002	NA
LCP05531_s01801	Starship	navis0013-hap0034	navis0013	NA
LCP05531_s01802	Starship	navis0003-hap0018	navis0003	NA
LCP05531_s01807	Starship	navis0002-hap0002	navis0002	NA
LCP05531_s01808	Starship	navis0011-hap0007	navis0011	NA
LCP05531_s01818	Starship	navis0001-hap0014	navis0001	NA
LCP06093_SLR78	SLR	NA	NA	NA
LCP06093_SLR79	SLR	NA	NA	NA
LCP06093_SLR80	SLR	NA	NA	NA
LCP06093_SLR81	SLR	NA	NA	NA
LCP06093_SLR82	SLR	NA	NA	NA
LCP06093_SLR83	SLR	NA	NA	NA
LCP06093_SLR84	SLR	NA	NA	NA
LCP06093_SLR85	SLR	NA	NA	NA
LCP06093_SLR86	SLR	NA	NA	NA
LCP06093_SLR88	SLR	NA	NA	NA
LCP06093_SLR89	SLR	NA	NA	NA
LCP06093_SLR90	SLR	NA	NA	NA
LCP06093_SLR91	SLR	NA	NA	NA
LCP06093_s01874	Starship	navis0003-hap0011	navis0003	NA
LCP06093_s01880	Starship	navis0016-hap0035	navis0016	NA
LCP06093_s01882	Starship	navis0003-hap0018	navis0003	NA
